path	relative_to	method	data_type	cohort	modality	source
analysis_result/multi_gene/MSBB/export/summary/context_specific/MSBB_BM_36_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	multi_gene_finemapping	eQTL	MSBB	BM_36	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/MSBB/eQTL/BM_36/LR/	AD_LOCI_ROOT	LR	eQTL	MSBB	BM_36	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/MSBB/eQTL/BM_36/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	MSBB	BM_36	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/MSBB_eQTL/export/summary/context_specific/BM_44_MSBB_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	MSBB	BM_44	FunGen-xQTL release (Synapse syn68872650)
analysis_result/multi_gene/MSBB/export/summary/context_specific/MSBB_BM_44_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	multi_gene_finemapping	eQTL	MSBB	BM_44	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/MSBB/eQTL/BM_44/LR/	AD_LOCI_ROOT	LR	eQTL	MSBB	BM_44	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/MSBB/eQTL/BM_44/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	MSBB	BM_44	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_pQTL/export/summary/context_specific/DLPFC_Bennett_pQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	pQTL	ROSMAP	DLPFC_Bennett	FunGen-xQTL release (Synapse syn68872650)
analysis_result/multi_gene/ROSMAP/export/summary/context_specific/ROSMAP_DLPFC_Bennett_pQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	multi_gene_finemapping	pQTL	ROSMAP	DLPFC_Bennett	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/pQTL/DLPFC/LR/	AD_LOCI_ROOT	LR	pQTL	ROSMAP	DLPFC	FunGen-xQTL release (Synapse syn68872650)
